Excel,Tableau,R,Illustrator,D3,ggplot2,Python,PowerBI,Flourish,Datawrapper,Unnamed: 0,ID,inspir,doc_id,type,ToolsForDV_,ToolsForDV_PowerPoint,ToolsForDV_PenPaper,ToolsForDV_Other__,count,inspirID
1,0,0,0,0,0,0,0,0,0,25,34,Amanda Makulec,477,Person,4,PowerPoint,,SAS,8,0
1,0,0,0,0,0,0,0,0,0,26,34,Johnathan Schwabish,478,Person,4,PowerPoint,,SAS,20,17
1,0,0,0,0,0,0,0,0,0,27,34,Stephanie Evergreen,479,Person,4,PowerPoint,,SAS,59,4
1,1,0,0,0,0,0,0,0,0,28,39,Steve Wexler,1117,Person,3,,,Oracle DV,30,18
1,0,0,0,0,0,1,1,0,0,29,40,NYT,120,Magazine,6,PowerPoint,,,38,7
1,0,0,0,0,0,1,1,0,0,30,40,Financial Times,120,Magazine,6,PowerPoint,,,56,14
0,0,1,1,1,1,0,0,1,1,31,43,Shirley Wu,1544,Person,8,,,,49,12
0,0,1,1,1,1,0,0,1,1,32,43,Nadieh Bremer,1545,Person,8,,,,73,11
0,0,1,1,1,1,0,0,1,1,33,43,Valentina D'Efilippo,1540,Person,8,,,,9,19
0,0,1,1,1,1,0,0,1,1,34,43,Giorgia Lupi,1541,Person,8,,,,46,20
0,0,1,1,1,1,0,0,1,1,35,43,Amelia Wattenberger,1546,Person,8,,,,19,21
0,0,1,1,1,1,0,0,1,1,36,43,Federica Fragapane,1539,Person,8,,,,24,22
1,1,1,1,1,0,1,0,0,0,37,45,Giorgia Lupi,1881,Person,8,,Pen & paper,Canva,46,20
1,0,1,0,0,0,0,1,1,0,38,47,Nadieh Bremer,1697,Person,9,PowerPoint,Pen & paper,,73,11
1,0,1,0,0,0,0,1,1,0,39,47,Lisa Charlotte Muth,1698,Person,9,PowerPoint,Pen & paper,,20,23
1,0,1,0,0,0,0,1,1,0,40,47,Shirley Wu,1696,Person,9,PowerPoint,Pen & paper,,49,12
0,0,0,1,0,0,0,0,0,0,41,48,Flowingwithdata (Nathan Yau),557,Blog,3,,,Google sheets,39,8
0,1,0,0,0,0,0,1,0,0,42,55,Jeffrey Shaffer,1265,Person,2,,,,7,24
0,1,0,0,0,0,0,1,0,0,43,55,Amanda Makulec,1262,Person,2,,,,8,0
0,1,0,0,0,0,0,1,0,0,44,55,Andy Kriebel,1261,Person,2,,,,12,25
0,1,0,0,0,0,0,1,0,0,45,55,Steve Wexler,1263,Person,2,,,,30,18
0,1,0,0,0,0,0,1,0,0,46,55,Kevin And Ken Flerlage,1266,Person,2,,,,22,26
0,1,0,0,0,0,0,1,0,0,47,55,Andy Cotgreave,1264,Person,2,,,,13,27
0,0,1,0,0,1,0,0,0,0,48,56,Twitter,717,Social Network,5,PowerPoint,,,38,28
0,0,1,0,0,1,0,0,0,0,49,58,R/Dataisbeautiful,1333,Community,5,,,DOMO (ugh),4,29
0,0,1,0,0,1,0,0,0,0,50,62,Twitter,1567,Social Network,3,PowerPoint,,,38,28
0,0,1,0,0,1,0,0,0,0,51,62,Cedric Scherer,1566,Person,3,PowerPoint,,,18,30
0,0,0,0,1,0,0,0,0,0,52,64,538,986,Magazine,2,,,,10,31
1,1,0,0,0,0,0,1,0,0,53,65,Stephen Few,1332,Person,3,,,,19,32
1,1,0,0,0,0,0,1,0,0,54,65,Storytelling With Data (Cole Knaflic),1331,Blog,3,,,,78,15
0,0,0,0,1,0,1,0,0,0,55,66,Tamara Munzner,285,Person,5,,Pen & paper,,8,33
0,0,0,0,1,0,1,0,0,0,56,66,Moritz Stefaner,288,Person,5,,Pen & paper,,21,34
0,0,0,0,1,0,1,0,0,0,57,66,Nadieh Bremer,284,Person,5,,Pen & paper,,73,11
1,1,1,1,0,1,0,0,0,0,58,67,NYT,356,Magazine,5,,,,38,7
0,1,0,0,0,0,0,1,0,0,59,69,Twitter,822,Social Network,3,,,,38,28
0,1,0,0,0,0,0,1,0,0,60,69,Financial Times,823,Magazine,3,,,,56,14
1,1,1,0,0,1,1,0,0,0,61,71,Alberto Cairo,1983,Person,5,,,,86,2
1,1,1,0,0,1,1,0,0,0,62,71,Tableau Public,1985,Community,5,,,,41,10
1,0,0,0,0,0,0,1,1,0,63,78,Linkedin,1763,Social Network,4,PowerPoint,,,9,35
1,0,1,1,1,0,1,0,0,0,64,83,Mike Bostock,42,Person,14,,,Svelte,21,36
1,1,0,1,0,0,1,0,1,1,65,84,Stefanie Posavec,41,Person,11,PowerPoint,,,13,37
1,1,0,1,0,0,1,0,1,1,66,84,Nature,40,Magazine,11,PowerPoint,,,10,38
0,0,0,0,1,0,1,0,0,0,67,86,Alberto Cairo,1385,Person,6,,,,86,2
0,0,0,0,1,0,1,0,0,0,68,86,Nadieh Bremer,1386,Person,6,,,,73,11
0,0,0,0,1,0,1,0,0,0,69,86,Mike Bostock,1384,Person,6,,,,21,36
1,1,1,0,0,0,1,0,0,0,70,91,Financial Times,1599,Magazine,7,PowerPoint,Pen & paper,Metabase and Dataiku,56,14
1,1,1,0,0,0,1,0,0,0,71,91,Edward Tufte,1599,Person,7,PowerPoint,Pen & paper,Metabase and Dataiku,49,13
0,0,1,1,1,1,1,0,0,1,72,98,NYT,713,Magazine,9,,,,38,7
0,0,1,1,1,1,1,0,0,1,73,98,Gurman Bhatia,709,Person,9,,,,5,39
0,0,1,1,1,1,1,0,0,1,74,98,Wall Street Journal,712,Magazine,9,,,,5,40
0,0,1,1,1,1,1,0,0,1,75,98,Bloomberg,716,Magazine,9,,,,4,41
0,0,1,1,1,1,1,0,0,1,76,98,Washington Post,714,Magazine,9,,,,11,9
0,0,1,1,1,1,1,0,0,1,77,98,Pudding,711,Magazine,9,,,,24,42
1,0,0,0,0,0,1,1,0,0,78,102,Federica Fragapane,337,Person,5,PowerPoint,,,24,22
0,1,1,0,0,0,0,0,0,0,79,103,Andy Kriebel,1327,Person,3,,,Looker,12,25
0,1,1,0,0,0,0,0,0,0,80,103,Andy Kirk,1326,Person,3,,,Looker,33,43
0,1,1,0,0,0,0,0,0,0,81,103,Stephanie Evergreen,1328,Person,3,,,Looker,59,4
1,1,0,0,0,0,0,1,0,0,82,104,Shirley Wu,3,Person,3,,,,49,12
1,1,0,0,0,0,0,1,0,0,83,104,Nadieh Bremer,6,Person,3,,,,73,11
1,1,0,0,0,0,0,1,0,0,84,104,Susie Lu,4,Person,3,,,,5,44
1,1,0,0,0,0,0,1,0,0,85,104,Giorgia Lupi,5,Person,3,,,,46,20
0,0,1,0,1,1,1,0,0,0,86,107,Mike Bostock,1538,Person,6,,,,21,36
0,0,1,0,1,1,1,0,0,0,87,107,Shirley Wu,1537,Person,6,,,,49,12
1,1,0,0,0,0,0,0,0,0,88,108,Tableau Public,53,Community,3,PowerPoint,,,41,10
1,1,0,0,0,0,0,0,0,0,89,108,Datavis Society,53,Organisation,3,PowerPoint,,,35,45
1,1,0,0,0,0,0,0,0,0,90,108,Slack,53,Social Network,3,PowerPoint,,,11,46
1,0,0,0,0,0,0,0,0,0,91,109,Stephanie Evergreen,1089,Person,3,PowerPoint,,,59,4
1,0,0,0,0,0,0,0,0,0,92,109,Ann Emery,1090,Person,3,PowerPoint,,,4,47
1,0,0,0,0,0,0,0,0,0,93,109,Ann K. Emery,1090,Person,3,PowerPoint,,,20,5
1,1,0,0,0,0,0,0,0,0,94,111,Storytelling With Data (Cole Knaflic),160,Blog,3,,Pen & paper,,78,15
1,1,0,0,0,0,0,0,0,0,95,111,Datavis Society,159,Organisation,3,,Pen & paper,,35,45
1,0,0,0,0,0,0,1,0,0,96,112,Storytelling With Data (Cole Knaflic),312,Blog,3,PowerPoint,,,78,15
1,0,0,0,0,0,0,1,0,0,97,112,Datavis Society,311,Organisation,3,PowerPoint,,,35,45
0,1,1,1,1,0,1,0,0,0,98,119,IEEE,1260,Organisation,13,,,,4,48
0,1,0,0,0,0,1,0,0,0,99,128,Nadieh Bremer,1505,Person,4,,,"Metabase, Googlesheets",73,11
0,1,0,0,0,0,1,0,0,0,100,128,Shirley Wu,1504,Person,4,,,"Metabase, Googlesheets",49,12
0,1,0,0,0,0,1,0,0,0,101,128,Tableau Public,1503,Community,4,,,"Metabase, Googlesheets",41,10
1,1,0,0,0,0,0,0,0,1,102,130,David Mccandless,413,Person,8,PowerPoint,,"SAS Visual Analytics, Visme, Vizzlo, Venngage",11,49
1,1,0,0,0,0,0,0,0,1,103,130,Giorgia Lupi,414,Person,8,PowerPoint,,"SAS Visual Analytics, Visme, Vizzlo, Venngage",46,20
1,1,0,0,0,0,0,0,0,1,104,130,Johnathan Schwabish,415,Person,8,PowerPoint,,"SAS Visual Analytics, Visme, Vizzlo, Venngage",20,17
1,0,0,1,1,0,0,0,0,0,105,131,NYT,1822,Magazine,4,,Pen & paper,,38,7
1,1,0,0,0,0,0,0,0,0,106,135,Stephanie Evergreen,1441,Person,5,PowerPoint,Pen & paper,,59,4
1,1,1,0,0,1,1,0,0,0,107,136,Dribbble,1257,Social Network,6,,,,3,50
1,1,1,0,0,1,1,0,0,0,108,136,Tableau Public,1255,Community,6,,,,41,10
1,1,1,0,0,1,1,0,0,0,109,136,Nature,1258,Magazine,6,,,,10,38
1,1,0,0,0,0,1,0,0,0,110,138,Kevin And Ken Flerlage,243,Person,4,,,Microsoft SSRS,22,26
1,1,0,0,0,0,1,0,0,0,111,138,Tableau Public,244,Community,4,,,Microsoft SSRS,41,10
1,1,0,0,0,0,1,0,0,0,112,138,#Tidytuesday,245,Community,4,,,Microsoft SSRS,9,51
0,0,0,0,0,0,1,0,0,0,113,139,Storytelling With Data (Cole Knaflic),1880,Blog,1,,,,78,15
1,1,1,0,0,1,0,0,0,0,114,140,Edward Tufte,1088,Person,5,,,,49,13
1,1,1,0,0,1,0,0,0,0,115,140,Financial Times,1088,Magazine,5,,,,56,14
1,1,1,1,1,1,0,0,1,1,116,141,Shirley Wu,1084,Person,11,PowerPoint,Pen & paper,,49,12
1,1,1,1,1,1,0,0,1,1,117,141,Nadieh Bremer,1085,Person,11,PowerPoint,Pen & paper,,73,11
1,1,1,1,1,1,0,0,1,1,118,141,Alberto Cairo,1083,Person,11,PowerPoint,Pen & paper,,86,2
1,1,1,1,1,1,0,0,1,1,119,141,NYT,1086,Magazine,11,PowerPoint,Pen & paper,,38,7
1,1,1,1,1,1,0,0,1,1,120,141,Datawrapper,1087,Blog,11,PowerPoint,Pen & paper,,11,3
1,1,0,0,0,1,1,1,0,0,121,144,Mona Chalabi,51,Person,7,,,,17,16
0,1,0,0,0,0,1,0,0,0,122,157,Andy Kirk,1565,Person,8,,,,33,43
1,1,1,0,0,1,0,0,0,0,123,161,Instagram,77,Social Network,6,,Pen & paper,,11,52
1,0,0,0,0,0,1,0,0,0,124,162,Andy Kirk,1081,Person,3,,,Tableau,33,43
1,0,0,0,0,0,1,0,0,0,125,162,Nightingale,1082,Magazine,3,,,Tableau,8,53
1,1,0,0,0,0,0,1,0,0,126,164,Storytelling With Data (Cole Knaflic),1908,Blog,4,PowerPoint,,,78,15
1,0,0,0,0,0,0,1,0,0,127,165,Edward Tufte,1679,Person,3,,,,49,13
1,0,0,0,0,0,0,1,0,0,128,165,Financial Times,1679,Magazine,3,,,,56,14
1,0,0,0,0,0,0,1,0,0,129,165,Storytelling With Data (Cole Knaflic),1676,Blog,3,,,,78,15
1,0,0,0,0,0,0,1,0,0,130,165,Stephen Few,1677,Person,3,,,,19,32
1,1,0,0,0,0,0,0,0,0,131,171,Datavis Society,1531,Organisation,3,PowerPoint,,,35,45
1,1,0,0,0,0,0,0,0,0,132,171,538,1535,Magazine,3,PowerPoint,,,10,31
1,1,0,0,0,0,0,0,0,0,133,171,Kevin And Ken Flerlage,1532,Person,3,PowerPoint,,,22,26
1,1,0,0,0,0,0,0,0,0,134,171,Economist,1534,Magazine,3,PowerPoint,,,14,54
1,0,0,0,0,0,0,0,0,0,135,175,Ann K. Emery,2085,Person,4,PowerPoint,,word,20,5
1,0,0,0,0,0,0,0,0,0,136,175,Stephanie Evergreen,2086,Person,4,PowerPoint,,word,59,4
0,0,1,0,1,0,1,0,0,0,137,179,IEEE,2081,Organisation,7,,,"C++/OpenGL, VTK/ITK",4,48
1,1,0,1,0,0,0,1,0,0,138,187,Steve Wexler,984,Person,6,PowerPoint,Pen & paper,,30,18
1,1,0,1,0,0,0,1,0,0,139,187,Flowingwithdata (Nathan Yau),983,Blog,6,PowerPoint,Pen & paper,,39,8
1,1,0,1,0,0,0,1,0,0,140,187,Alberto Cairo,981,Person,6,PowerPoint,Pen & paper,,86,2
1,1,0,1,0,0,0,1,0,0,141,187,Nadieh Bremer,980,Person,6,PowerPoint,Pen & paper,,73,11
0,1,0,1,0,0,1,0,0,0,142,190,Information Is Beautiful,136,Blog,3,,,,8,55
0,1,0,1,0,0,1,0,0,0,143,190,#Makeovermonday,134,Community,3,,,,8,56
0,1,0,1,0,0,1,0,0,0,144,190,Storytelling With Data (Cole Knaflic),135,Blog,3,,,,78,15
1,0,1,0,0,1,0,0,0,0,145,191,Flowingwithdata (Nathan Yau),2031,Blog,5,PowerPoint,Pen & paper,,39,8
1,0,0,0,0,0,0,1,0,0,146,195,Giorgia Lupi,474,Person,3,,,,46,20
1,0,0,0,0,0,0,1,0,0,147,195,Mona Chalabi,476,Person,3,,,,17,16
1,0,0,0,0,0,0,1,0,0,148,195,David Mccandless,475,Person,3,,,,11,49
1,1,0,0,0,0,0,0,0,0,149,197,Tableau Public,133,Community,7,PowerPoint,,"Adobe XD, Figma",41,10
0,0,0,0,1,0,0,0,0,0,150,200,Nature,310,Magazine,5,,,,10,38
1,1,1,0,0,1,0,0,0,0,151,203,Hans Rosling,39,Person,5,,Pen & paper,,5,57
1,1,1,0,0,1,0,0,0,0,152,203,Tableau Public,38,Community,5,,Pen & paper,,41,10
1,0,0,0,0,0,0,0,0,0,153,211,Nadieh Bremer,1130,Person,3,PowerPoint,,,73,11
1,0,0,0,0,0,0,0,0,0,154,211,Shirley Wu,1131,Person,3,PowerPoint,,,49,12
1,0,0,0,0,0,0,0,0,0,155,215,Johnathan Schwabish,977,Person,4,PowerPoint,,Oracle Analytics Cloud,20,17
1,0,0,0,0,0,0,0,0,0,156,215,Alberto Cairo,978,Person,4,PowerPoint,,Oracle Analytics Cloud,86,2
1,0,0,0,0,0,0,0,0,0,157,215,Flowingwithdata (Nathan Yau),976,Blog,4,PowerPoint,,Oracle Analytics Cloud,39,8
1,1,0,0,0,0,0,0,0,0,158,216,Tableau Public,615,Community,3,PowerPoint,,,41,10
0,0,0,1,1,0,1,0,0,0,159,221,Mona Chalabi,190,Person,6,,Pen & paper,,17,16
1,1,1,0,0,0,1,1,0,0,160,223,Bill Shander,705,Person,6,PowerPoint,,,4,58
0,0,0,0,1,0,1,0,0,0,161,225,R/Dataisbeautiful,1440,Community,6,,Pen & paper,,4,29
0,1,0,0,0,0,0,0,0,0,162,228,Steve Wexler,972,Person,1,,,,30,18
0,1,0,0,0,0,0,0,0,0,163,228,Kevin And Ken Flerlage,970,Person,1,,,,22,26
1,0,0,0,0,0,0,1,0,0,164,229,Andy Kirk,173,Person,3,PowerPoint,,,33,43
1,0,1,0,0,1,1,1,0,0,165,231,538,81,Magazine,7,,,ZOHO analytics,10,31
1,0,1,0,0,1,1,1,0,0,166,231,Flowingwithdata (Nathan Yau),79,Blog,7,,,ZOHO analytics,39,8
1,0,1,0,0,1,1,1,0,0,167,231,Pudding,80,Magazine,7,,,ZOHO analytics,24,42
1,1,0,0,0,1,1,1,0,0,168,232,Ironviz,2087,Community,7,PowerPoint,,,3,59
1,1,0,0,0,0,1,1,0,0,169,233,Datawrapper,964,Blog,5,,,SAS,11,3
1,1,0,0,0,0,1,1,0,0,170,233,Andy Cotgreave,968,Person,5,,,SAS,13,27
1,1,0,0,0,0,1,1,0,0,171,233,Amanda Makulec,967,Person,5,,,SAS,8,0
1,1,0,0,0,0,1,1,0,0,172,233,Jeffrey Shaffer,965,Person,5,,,SAS,7,24
1,1,0,0,0,0,1,1,0,0,173,233,Steve Wexler,966,Person,5,,,SAS,30,18
1,1,0,1,1,0,0,0,0,0,174,234,Giorgia Lupi,280,Person,7,PowerPoint,,Figma,46,20
1,1,0,1,1,0,0,0,0,0,175,234,Amelia Wattenberger,283,Person,7,PowerPoint,,Figma,19,21
1,1,0,1,1,0,0,0,0,0,176,234,Wall Street Journal,282,Magazine,7,PowerPoint,,Figma,5,40
1,1,0,1,1,0,0,0,0,0,177,234,NYT,281,Magazine,7,PowerPoint,,Figma,38,7
1,1,1,1,0,1,0,0,0,0,178,235,Jessica Hullman,611,Person,9,PowerPoint,Pen & paper,,6,60
1,1,1,1,0,1,0,0,0,0,179,235,Johnathan Schwabish,607,Person,9,PowerPoint,Pen & paper,,20,17
1,1,1,1,0,1,0,0,0,0,180,235,Amelia Wattenberger,610,Person,9,PowerPoint,Pen & paper,,19,21
0,1,0,0,1,0,1,0,1,1,181,238,Federica Fragapane,585,Person,8,,Pen & paper,Figma,24,22
0,1,0,0,1,0,1,0,1,1,182,238,Johnathan Schwabish,589,Person,8,,Pen & paper,Figma,20,17
0,1,0,0,1,0,1,0,1,1,183,238,Flowingwithdata (Nathan Yau),588,Blog,8,,Pen & paper,Figma,39,8
0,1,0,0,1,0,1,0,1,1,184,238,Giorgia Lupi,584,Person,8,,Pen & paper,Figma,46,20
0,1,0,0,1,0,1,0,1,1,185,238,Catherine D'Ignazio,586,Person,8,,Pen & paper,Figma,4,61
0,1,0,0,1,0,1,0,1,1,186,238,Lisa Charlotte Muth,591,Person,8,,Pen & paper,Figma,20,23
1,0,0,0,0,0,1,0,0,0,187,239,Alberto Cairo,1674,Person,4,,,Looker,86,2
1,0,0,0,0,0,1,0,0,0,188,239,Andy Kirk,1675,Person,4,,,Looker,33,43
1,0,0,0,0,0,1,0,0,0,189,239,Financial Times,1673,Magazine,4,,,Looker,56,14
1,0,0,0,0,0,1,0,0,0,190,239,Edward Tufte,1673,Person,4,,,Looker,49,13
1,1,1,1,0,1,1,1,0,0,191,244,Twitter,45,Social Network,13,PowerPoint,Pen & paper,,38,28
0,0,0,0,0,0,0,0,0,0,192,245,Storytelling With Data (Cole Knaflic),1116,Blog,1,,,,78,15
0,0,0,1,0,0,0,1,0,0,193,247,Andy Kirk,425,Person,2,,,,33,43
0,0,0,1,0,0,0,1,0,0,194,247,Nadieh Bremer,424,Person,2,,,,73,11
0,1,1,1,1,0,0,0,0,0,195,249,Pudding,1383,Magazine,6,PowerPoint,Pen & paper,,24,42
0,1,1,1,1,0,0,0,0,0,196,249,Lisa Charlotte Muth,1382,Person,6,PowerPoint,Pen & paper,,20,23
0,1,1,1,1,0,0,0,0,0,197,249,Johnathan Schwabish,1380,Person,6,PowerPoint,Pen & paper,,20,17
0,1,1,1,1,0,0,0,0,0,198,249,Flowingwithdata (Nathan Yau),1381,Blog,6,PowerPoint,Pen & paper,,39,8
0,0,0,0,0,0,1,0,1,0,199,251,Alli Torban,33,Person,8,,Pen & paper,"Figma, Google Sheets, Mapshaper",18,62
0,0,0,0,0,0,1,0,1,0,200,251,Gabrielle Merite,34,Person,8,,Pen & paper,"Figma, Google Sheets, Mapshaper",10,63
0,0,0,0,0,0,1,0,1,0,201,251,Duncan Geere,32,Person,8,,Pen & paper,"Figma, Google Sheets, Mapshaper",4,64
0,0,0,0,0,0,1,0,1,0,202,251,Jane Zhang,37,Person,8,,Pen & paper,"Figma, Google Sheets, Mapshaper",4,65
0,0,0,0,1,0,1,0,0,0,203,260,Observable,1248,Community,4,,,,11,66
0,0,0,0,1,0,1,0,0,0,204,260,NYT,1251,Magazine,4,,,,38,7
0,0,0,0,1,0,1,0,0,0,205,260,Flowingwithdata (Nathan Yau),1250,Blog,4,,,,39,8
0,0,0,0,1,0,1,0,0,0,206,260,Economist,1252,Magazine,4,,,,14,54
0,0,0,1,0,0,0,0,0,0,207,264,Pinterest,1737,Social Network,4,PowerPoint,Pen & paper,Whiteboard- physical or Zoom; Adobe Illustrator>XD > Zeplin.,10,67
0,0,0,1,0,0,0,0,0,0,208,264,Edward Tufte,1733,Person,4,PowerPoint,Pen & paper,Whiteboard- physical or Zoom; Adobe Illustrator>XD > Zeplin.,49,13
0,0,0,1,0,0,0,0,0,0,209,264,Financial Times,1733,Magazine,4,PowerPoint,Pen & paper,Whiteboard- physical or Zoom; Adobe Illustrator>XD > Zeplin.,56,14
0,1,0,0,1,0,1,1,0,0,210,267,Storytelling With Data (Cole Knaflic),156,Blog,8,PowerPoint,,,78,15
0,1,0,0,1,0,1,1,0,0,211,267,Shirley Wu,157,Person,8,PowerPoint,,,49,12
0,1,0,0,1,0,1,1,0,0,212,267,Elijah Meeks,158,Person,8,PowerPoint,,,6,68
0,1,0,0,0,0,0,0,0,0,213,287,Stephen Few,408,Person,2,,,Databricks,19,32
0,1,0,0,0,0,0,0,0,0,214,287,Edward Tufte,407,Person,2,,,Databricks,49,13
0,1,0,0,0,0,0,0,0,0,215,287,Alberto Cairo,410,Person,2,,,Databricks,86,2
0,1,0,0,0,0,0,0,0,0,216,287,Financial Times,407,Magazine,2,,,Databricks,56,14
1,1,1,0,0,0,1,0,0,0,217,289,Instagram,263,Social Network,6,,,Domo,11,52
1,1,1,0,1,1,1,1,0,0,218,291,Ann K. Emery,116,Person,10,PowerPoint,Pen & paper,,20,5
1,1,1,0,1,1,1,1,0,0,219,291,Alli Torban,117,Person,10,PowerPoint,Pen & paper,,18,62
1,1,1,0,1,1,1,1,0,0,220,291,Storytelling With Data (Cole Knaflic),115,Blog,10,PowerPoint,Pen & paper,,78,15
1,1,1,0,1,1,1,1,0,0,221,291,Alberto Cairo,118,Person,10,PowerPoint,Pen & paper,,86,2
1,1,1,0,1,1,1,1,0,0,222,291,Nadieh Bremer,114,Person,10,PowerPoint,Pen & paper,,73,11
0,1,0,0,1,0,0,0,0,0,223,292,Nadieh Bremer,959,Person,5,,Pen & paper,Figma,73,11
0,1,0,0,1,0,0,0,0,0,224,292,Shirley Wu,960,Person,5,,Pen & paper,Figma,49,12
0,1,0,0,1,0,0,0,0,0,225,292,R.J Andrews,961,Person,5,,Pen & paper,Figma,10,69
0,1,0,0,1,0,0,0,0,0,226,292,Steve Wexler,962,Person,5,,Pen & paper,Figma,30,18
0,1,0,0,1,0,0,0,0,0,227,292,Kevin And Ken Flerlage,963,Person,5,,Pen & paper,Figma,22,26
1,1,0,0,0,0,0,0,0,0,228,294,Storytelling With Data (Cole Knaflic),1325,Blog,4,PowerPoint,Pen & paper,,78,15
1,1,0,0,0,0,0,0,0,0,229,294,Ryan Sleeper,1322,Person,4,PowerPoint,Pen & paper,,5,70
1,1,0,0,0,0,0,0,0,0,230,294,Datavis Society,1320,Organisation,4,PowerPoint,Pen & paper,,35,45
1,1,0,0,0,0,0,0,0,0,231,305,Ben Jones,957,Person,5,PowerPoint,Pen & paper,,6,71
1,1,0,0,0,0,0,0,0,0,232,305,Storytelling With Data (Cole Knaflic),958,Blog,5,PowerPoint,Pen & paper,,78,15
1,0,1,0,0,1,0,0,0,0,233,306,Thomas Lin Pedersen,423,Person,4,,Pen & paper,,5,72
1,0,1,0,0,1,0,0,0,0,234,306,Cedric Scherer,422,Person,4,,Pen & paper,,18,30
1,0,1,0,0,0,0,0,0,0,235,308,Storytelling With Data (Cole Knaflic),1597,Blog,3,PowerPoint,,,78,15
1,0,1,0,0,0,0,0,0,0,236,308,Flowingwithdata (Nathan Yau),1598,Blog,3,PowerPoint,,,39,8
0,0,0,0,1,0,1,0,0,0,237,310,Nadieh Bremer,378,Person,5,,,,73,11
0,0,0,0,1,0,1,0,0,0,238,310,Flowingwithdata (Nathan Yau),377,Blog,5,,,,39,8
0,0,1,0,1,1,1,0,0,0,239,316,Instagram,1245,Social Network,6,,Pen & paper,,11,52
0,0,1,0,1,1,1,0,0,0,240,316,Twitter,1246,Social Network,6,,Pen & paper,,38,28
0,0,1,0,1,1,0,0,0,0,241,323,Mike Bostock,265,Person,5,,,,21,36
0,0,1,0,1,1,0,0,0,0,242,323,Observable,265,Community,5,,,,11,66
0,1,0,0,0,0,0,1,0,0,243,324,Twitter,241,Social Network,5,PowerPoint,Pen & paper,,38,28
0,1,0,0,0,0,0,1,0,0,244,324,Visual Capialist,242,Magazine,5,PowerPoint,Pen & paper,,3,73
1,1,1,0,0,0,1,0,0,0,245,325,Tableau Public,1128,Community,5,PowerPoint,,,41,10
1,1,0,0,0,0,0,0,0,0,246,331,Storytelling With Data (Cole Knaflic),831,Blog,3,,Pen & paper,,78,15
1,1,0,0,0,0,0,0,0,0,247,331,#Makeovermonday,836,Community,3,,Pen & paper,,8,56
1,1,0,0,0,0,0,0,0,0,248,331,Andy Kriebel,834,Person,3,,Pen & paper,,12,25
1,1,0,0,0,0,0,0,0,0,249,331,R.J Andrews,833,Person,3,,Pen & paper,,10,69
1,1,0,0,0,0,0,0,0,0,250,331,Alli Torban,832,Person,3,,Pen & paper,,18,62
1,1,0,0,0,0,0,0,0,0,251,331,Kevin And Ken Flerlage,835,Person,3,,Pen & paper,,22,26
